Portfolio,Mean_Final_Value,Median_Final_Value,Std_Final_Value,Min_Final_Value,Max_Final_Value,VaR_5_Percent,VaR_95_Percent,Probability_of_Loss,Expected_Shortfall
Max Sharpe,1.2364107961865123,1.2322288337743212,0.09985275768860348,0.9003256745116699,1.80196512838967,1.0763960815454587,1.4072747634884601,0.0047,1.0410454555360005
Min Volatility,1.0818445481072883,1.0806341819714038,0.04949372773467274,0.9180411261969741,1.3012590739283234,1.0026237317625042,1.16607756091332,0.0444,0.9830708084731139
Risk Parity,1.0780895681360585,1.0781415679334594,0.03152232785636135,0.9320556987854256,1.2237473994758055,1.0262419942013448,1.1301077664229264,0.0052,1.0144969863437607
Target Return,1.0816154290432243,1.080026956477696,0.049940914908879364,0.9123485582019097,1.2860841935001361,1.0013637376698983,1.164908499272933,0.0476,0.981741109233322
